mpID,wyckoff,number_of_atoms,equivalent_wyckoff_labels_number,synthesisability
icsd-70558,AB6C4_mC44_15_e_3f_abf:Ca-P-Pt,44,7,1
icsd-146391,AB2C2_tI10_139_a_d_e:La-Mn-Si,10,3,1
icsd-175808,ABC3_mC20_15_e_c_ef:B-Fe-O,20,4,1
icsd-176727,AB6C2D_cF40_225_a_e_c_b:Bi-Cl-Cs-Na,40,4,1
icsd_127434,A5B4_cF72_227_ae_e:Fe-O,72,3,1
icsd-129366,A8B3C2_hR39_166_ch_ac_c:O-Sr-V,39,5,1
icsd-126569,A6B43C24_cP292_215_2i_e8i3j_abcd4e4ij:Ce-Cu-Sb,292,27,1
icsd_127967,AB4C_aP24_2_2i_8i_2i:Mg-O-W,24,12,1
icsd-128824,AB3C_oP20_62_a_cd_c:Ce-O-Sr,20,4,1
icsd_116693,A2BC4D2_tP9_123_g_a_2g_g:Bi-F-S-Sr,9,5,1
icsd_124218,ABC5_mP56_4_4a_4a_20a:As-Mn-O,56,28,1
icsd-137959,AB2C4DE_oP36_62_c_2c_4c_c_c:F-La-O-Se-Ta,36,9,1
icsd_124839,A2B_tP12_92_b_a:O-Te,12,2,1
icsd-71084,A6B2C5_oP52_53_e3hi_gh_f2hi:As-Ba-Zn,52,11,1
icsd_58691,AB2C4_tP56_126_f_k_2k:Ga-Rb-Tl,56,4,1
icsd-145365,AB2C2_tI10_139_a_d_e:Er-Pd-Si,10,3,1
icsd-144827,AB6C16D4_mP54_14_a_3e_8e_2e:Mn-Na-O-S,54,14,1
icsd-175696,AB6CDE11_oC80_36_a_3b_a_a_3a4b:Ag-Ga-K-Mg-S,80,13,1
icsd-177351,A3BC_mP40_11_4e4f_4e_2f:Br-Cs-Sn,40,14,1
icsd-139101,ABC2_mP16_14_e_e_2e:B-Li-O,16,4,1
icsd-144431,A4BC_oP24_62_2cd_c_c:O-P-V,24,5,1
icsd-149203,A2BCDE7_mP48_7_4a_2a_2a_2a_14a:H-I-Mo-Na-O,48,24,1
icsd-177428,AB4C_oP24_62_c_2cd_c:Cs-O-Re,24,5,1
icsd-177582,AB4C15D4_hP48_158_a_a2bc_5d_ab2c:Ba-La-O-Ti,48,14,1
icsd-52072,AB2_cF24_227_a_d:Cr-Zr,24,2,1
icsd-146375,A2B4C_cF56_227_c_e_b:Ga-O-Zn,56,3,1
icsd_127080,A_oP24_62_3d:C,24,3,1
icsd-46932,A3B16C2D4_mP50_14_ae_8e_e_2e:Ni-O-Rb-S,50,13,1
icsd-176669,AB4C2_oP28_33_a_4a_2a:Ge-N-P,28,7,1
icsd_117573,A4B2C4D9_mP76_14_4e_2e_4e_9e:B-Cs-H-O,76,19,1
icsd-45758,A4B12CD3_hR60_155_ad_2df_b_e:B-O-Pr-Sc,60,7,1
icsd-126831,ABCD4_oP28_62_a_c_c_2cd:Ca-Ga-Gd-O,28,6,1
icsd-175803,ABC3_hR30_167_a_b_e:B-Fe-O,30,3,1
icsd-149595,AB3C9D2_mP60_14_e_3e_9e_2e:Ca-Fe-O-Si,60,15,1
icsd_116362,A3B3C_oP56_26_4a4b2c_ab5c_2a2b:As-Eu-Zn,56,21,1
icsd_124213,AB3C4D3E5_mP64_14_e_3e_4e_3e_5e:Bi-C-H-N-S,64,16,1
icsd_116732,A3B_tI40_87_adhi_bh:H-Yb,40,6,1
icsd-175100,A5BC8_oI224_45_ab9c_2c_16c:Ga-Rb-S,224,29,1
icsd-129443,A2BC3_oP72_55_6g_3h_9g:C-Cs-N,72,18,1
icsd_61952,A10B2C17D3_oP128_60_5d_d_c8d_cd:B-Cl-O-Sn,128,17,1
icsd_137311,A12BC2_aP15_2_6i_a_i:F-Pd-Sb,15,8,1
icsd-129013,A2B3C8D_mP28_4_2a_3a_8a_a:As-Cs-S-Sm,28,14,1
icsd_89265,A2BCDE2_oC56_63_eg_f_ac_f_eg:Cl-H-Li-O-Sr,56,8,1
icsd-176452,A5B7C2D_mP60_14_5e_7e_2e_e:H-O-P-Sc,60,15,1
icsd-176147,A2B_mP12_14_2e_e:O-Zr,12,3,1
icsd_115775,A23B6C10_oC78_38_acde4f_abde_c2f:O-Rb-Si,78,15,1
icsd_57925,ABCD3_oC24_63_c_a_c_cf:Ba-Ce-Cu-Te,24,5,1
icsd_64316,A4BCD_tI56_82_4g_g_g_g:Br-Re-S-Te,56,7,1
icsd_86485,A2B2C8D_mC208_12_4i2j_4i2j_8i12j_2ij:Cs-Mo-O-Pb,208,35,1
icsd-70787,A12B3C14DE_hP62_147_4g_g_cd4g_d_c:H-Ni-O-S-Zn,62,13,1
icsd_124478,A2B4C15_mP252_14_6e_12e_45e:La-Mo-O,252,63,1
icsd_123997,ABCD2E_tI96_141_h_h_h_2h_h:Br-Cs-N-O-Pb,96,6,1
icsd_139163,A2B_tP6_136_f_a:O-Si,6,2,1
icsd-174253,AB3C_oP20_62_a_cd_c:Ni-O-Pr,20,4,1
icsd_119886,A5B2C2D2_tI22_139_ag_e_e_e:O-S-Ti-Y,22,5,1
icsd-176794,A2B6C10D4E_oP92_62_2c_2c2d_5d_2d_c:B-F-H-N-O,92,14,1
icsd_116270,A19B8_cP54_218_cei_ade:Si-Te,54,6,1
icsd_124301,A2B5C4D4E_mC128_15_2f_5f_ae3f_4f_f:Be-F-Na-O-P,128,17,1
icsd-70912,A2B_oI12_74_h_e:Al-Sr,12,2,1
icsd-175157,A6B3C_mC80_15_6f_3f_ce:Cl-Rb-Rh,80,11,1
icsd-175507,AB4C_mC24_15_e_2f_e:Nb-O-Y,24,4,1
icsd-176281,AB2C4_oC28_64_a_f_ef:Cu-La-O,28,4,1
icsd-146637,ABCD_tP8_129_c_a_b_c:Bi-Cu-O-S,8,4,1
icsd_127038,A8B3C6_oP68_51_8i_3i_6i:Al-Eu-Pt,68,17,1
icsd-175854,AB7C3D6_mC34_12_b_aej_ch_ij:Ba-Cu-K-S,34,8,1
icsd_127192,A5B3C2_tP40_128_egh_dh_h:Ge-Ru-Sm,40,6,1
icsd_115519,AB5CDE_oP72_61_c_5c_c_c_c:F-O-Pb-Te-V,72,9,1
icsd-139290,ABC_hP9_189_f_bc_g:Al-Ni-Y,9,4,1
icsd-146508,A2B3C_tP24_132_ade_io_j:Na-Se-Si,24,6,1
icsd_128158,AB7C4_oP96_55_gh_ef2g2h4i_2g2h2i:K-Na-Tl,96,18,1
icsd-174029,AB3C_mP20_14_ad_3e_e:Ni-O-Pr,20,6,1
icsd-129005,A2BC_oP48_55_2g2hi_ei_gi:Ge-Ru-Sc,48,9,1
icsd_137307,AB7C_oI36_74_c_ehj_a:Cu-F-Sb,36,5,1
icsd-147319,AB7C2_mP40_14_e_7e_2e:Ba-F-Fe,40,10,1
icsd-145324,AB2C8D2_tI104_110_a_b_4b_b:Ba-Mn-O-V,104,7,1
icsd-175792,ABC3_hR30_167_a_b_e:B-Fe-O,30,3,1
icsd_124481,A4B15C2_mP42_14_2e_a7e_e:Mo-O-Tb,42,11,1
icsd-177310,AB4C7_oP24_31_a_2ab_3a2b:Ba-Ga-Se,24,9,1
icsd-138301,A6B24CD12E14F2_mP236_14_6e_24e_e_12e_14e_2e:C-H-Mg-N-O-Re,236,59,1
icsd_136900,A2BC3D8_mP112_14_4e_2e_6e_16e:As-La-Na-O,112,28,1
icsd-176852,A2BC4_tI28_141_c_b_h:Cu-Ge-O,28,3,1
icsd_115763,A3BC4_cI16_217_b_a_c:Na-P-Se,16,3,1
icsd-149612,A2BC2_mC10_12_i_a_i:As-Ba-Ni,10,3,1
icsd-176151,AB8C4_cF52_216_a_2e_e:Ge-S-V,52,4,1
icsd_57319,AB3C_cP5_221_a_c_b:Ba-O-Zr,5,3,1
icsd-145518,AB6C_mC32_15_e_3f_e:Ca-O-S,32,5,1
icsd-138028,A4BCD5E2_oP52_19_4a_a_a_5a_2a:F-Fe-Li-O-P,52,13,1
icsd-126466,AB_cF8_225_a_b:N-Ti,8,2,1
icsd-138182,AB2C4DE_mP36_14_e_2e_4e_e_e:Cs-F-O-P-V,36,9,1
icsd-174245,AB3C_mP20_14_ad_3e_e:Ni-O-Pr,20,6,1
icsd_123981,AB3C9D2_mP60_14_e_3e_9e_2e:Bi-H-O-S,60,15,1
icsd_139175,A2B_oP6_58_g_a:O-Si,6,2,1
icsd-176628,A5BC2_tI32_140_cl_a_h:Cl-Cs-Pb,32,4,1
icsd-139286,AB12CD3_hP34_176_b_2hi_c_h:Na-O-Pb-Re,34,6,1
icsd_128271,A2B4C_oP28_62_ac_2cd_c:Mn-O-Si,28,6,1
icsd_127184,A5B3C2_tP40_128_egh_dh_h:Ge-Ru-Sm,40,6,1
icsd-64414,A_oF128_70_4h:S,128,4,1
icsd-137762,AB2CDE7F4_aP32_2_i_2i_i_i_7i_4i:Ag-H-O-Rb-S-Sb,32,16,1
icsd-148795,ABC2_hP4_164_a_b_d:Cr-Li-Se,4,3,1
icsd-129286,A2BC4_cF56_227_c_b_e:Fe-Ni-O,56,3,1
icsd_116289,A2BC2DE2F6_hP28_165_d_a_d_b_d_3g:B-Ba-Be-Cd-F-O,28,8,1
icsd-126523,ABC2_hP8_194_c_a_f:Al-C-Sc,8,3,1
icsd-175395,A3B2C7_oC48_63_cg_g_c2eg:La-Ni-O,48,7,1
icsd-148111,A17BC4D3_oP100_19_17a_a_4a_3a:O-Sr-Ta-Te,100,25,1
icsd-176940,AB6C2D_mP40_14_e_6e_2e_e:H-O-Pr-Ru,40,10,1
icsd_87390,A12BC3D2_hP36_186_4c_b_c_ab:O-Rb-Sb-Se,36,8,1
icsd-45934,AB2C10D3_mP32_11_e_f_2e4f_ef:Ba-Lu-O-Si,32,10,1
icsd-70379,A2BCD6_mP20_14_e_a_d_3e:Ca-In-Nb-O,20,6,1
icsd-45037,A3B3C2D4_oP96_60_3d_3d_2cd_4d:B-F-K-O,96,13,1
icsd-70396,A2B2C7D_oP48_32_2c_2c_ab6c_c:B-Bi-O-Zn,48,13,1
icsd-139117,ABC2_mP16_14_e_e_2e:B-Li-O,16,4,1
icsd_125228,A6BC2DE6_mP32_14_3e_a_e_d_3e:C-Fe-K-Mg-N,32,9,1
icsd-146949,ABC2_tI16_122_a_b_d:Ag-Ga-Se,16,3,1
icsd-138356,AB9C3_oC52_20_a_b4c_ac:La-O-P,52,8,1
icsd-148404,A2B7C2D_oP96_55_2g2h_ef2g2h4i_2i_i:Cs-O-Si-Tm,96,17,1
icsd-177347,A3BC_tP10_127_bg_c_a:Br-Cs-Sn,10,4,1
icsd-145236,A2B2CD2E2_tI18_139_e_d_a_e_c:Eu-F-O-Sb-Ti,18,5,1
icsd-174992,A11BC2_mP112_14_22e_2e_4e:O-Pu-Re,112,28,1
icsd-175680,A5B2C2DE8_oP72_60_c2d_d_d_c_4d:B-F-Li-Na-O,72,10,1
icsd-53675,A_hP4_187_abh:Re,4,3,1
icsd-70545,ABC3_oP20_62_a_c_cd:Cr-La-O,20,4,1
icsd_127096,A_oP32_62_4d:C,32,4,1
icsd-149096,ABCD_tP8_129_c_c_c_a:B-N-Nd-Ni,8,4,1
icsd-146363,AB3C_mP20_14_ad_3e_e:Ni-O-Tl,20,6,1
icsd_128699,A6B5C2D43EF9G2_mP272_14_6e_5e_2e_43e_e_9e_2e:H-K-Na-O-P-W-Zn,272,68,1
icsd-126431,A2B3_cI80_206_ad_e:Gd-O,80,3,1
icsd-42967,A_cF4_225_a:Fe,4,1,1
icsd-200556,A3B9C4_aP192_1_36a_108a_48a:Ba-O-Y,192,192,1
icsd_116231,A2B2C2D2E_oC36_64_e_d_f_d_a:Ag-Ba-O-Te-Zn,36,5,1
icsd-148687,AB3C_oP20_62_c_cd_a:Eu-O-V,20,4,1
icsd-129394,A8B4C_aP26_2_8i_4i_i:O-Pb-S,26,13,1
icsd-147572,ABC3_oC20_63_a_c_cd:Al-Gd-O,20,4,1
icsd-128993,A4B20C2D17_mC172_15_2f_10f_ae_e8f:B-H-Na-O,172,23,1
icsd_137079,AB2C4_oP28_62_c_2c_2cd:C-Ca-O,28,6,1
icsd_116724,A8B6CD2E26F_hP44_147_dg_g_a_d_d4g_b:B-Ce-Mg-Nb-O-S,44,11,1
icsd-147437,A3B_tI32_139_im_de:Si-Tb,32,4,1
icsd_116374,AB10C2D3_oP128_29_2a_20a_4a_6a:Na-O-P-Sb,128,32,1
icsd-137735,ABC4DE_mP32_14_e_e_4e_e_e:Cl-K-O-S-Zn,32,8,1
icsd-128839,A5B12C2_oP76_19_5a_12a_2a:Cd-O-P,76,19,1
icsd_123893,ABC3_oP20_62_c_a_cd:Ba-Ce-O,20,4,1
icsd_127079,A_oP16_54_cdf:C,16,3,1
icsd-149583,AB3C9D2_mP60_14_e_3e_9e_2e:Ca-Fe-O-Si,60,15,1
icsd-174707,A2BC2DE6_mP48_14_2e_e_2e_e_6e:F-Ga-I-Na-O,48,12,1
icsd_128676,AB3_tI32_121_f_g2i:P-W,32,4,1
icsd_127429,A2B_hP9_152_c_a:O-Si,9,2,1
icsd_59215,A2BCD6_cF40_225_c_a_b_e:Bi-Cr-Ni-O,40,4,1
icsd-46861,ABC4D_mP84_14_3e_3e_12e_3e:Ga-Na-O-Si,84,21,1
icsd-64204,AB_cF8_225_a_b:Mn-N,8,2,1
icsd_124012,A2B7C2_aP22_2_2i_7i_2i:Cu-O-V,22,11,1
icsd-63938,A2B_cP6_224_b_a:Ag-O,6,2,1
icsd-146932,AB2_oP6_58_a_g:Ru-Sb,6,2,1
icsd_116533,AB5C2_oP128_60_2d_ac9d_2c3d:Al-F-K,128,18,1
icsd-174906,ABC4D_oP28_62_c_a_2cd_c:Fe-Li-O-P,28,6,1
icsd-175244,A3B2C7_tI24_139_ae_e_beg:La-Ni-O,24,6,1
icsd_119783,A3BC_cP5_221_c_b_a:O-Sn-Sr,5,3,1
icsd-49595,AB2C_tI32_141_c_h_d:Ca-O-W,32,3,1
icsd-128792,A2B7C2_oP88_33_4a_14a_4a:B-O-Te,88,22,1
icsd_124854,AB4C2D_hP216_144_9a_36a_18a_9a:C-H-N-Se,216,72,1
icsd_128174,A_hR18_148_f:Se,18,1,1
icsd-176192,ABC3D_oC24_63_c_c_cf_a:Ba-Cu-Se-Yb,24,5,1
icsd-47071,A3BC12D3_mC76_12_acj_g_2i5j_ij:K-La-O-S,76,13,1
icsd_87168,ABC_hP6_194_c_d_a:H-La-S,6,3,1
icsd-148243,A4BC19D32_tI224_141_h_a_bcfgi_2h3i:Ba-Br-In-S,224,12,1
icsd-144630,AB4C_tI24_88_a_f_b:Bi-O-V,24,3,1
icsd_115489,A6B6C3D_hR96_161_2b_2b_b_a:H-O-P-Ti,96,6,1
icsd-176741,A2BCD4_tP8_123_h_a_b_i:Bi-Cl-Gd-O,8,4,1
icsd-70181,A2B2C2D4E_mP11_6_2a_c_2b_2a2b_a:F-H-K-O-W,11,10,1
icsd_58886,A2B4C_oP28_62_2c_2cd_c:K-S-W,28,6,1
icsd-64592,AB8C14D2E2_tI54_87_a_i_ehi_d_e:Co-H-O-P-V,54,7,1
icsd_127452,A5B4_cF72_227_ae_e:Fe-O,72,3,1
icsd-201296,A2B7C2_cF88_227_d_af_c:Gd-O-Ti,88,4,1
icsd_139159,A2B_tP6_136_f_a:O-Si,6,2,1
icsd_127147,ABC_oP12_62_c_c_c:Cr-P-Ta,12,3,1
icsd-175881,A3B3C2D2E12F3_cI200_199_c_2b_2a_2a_4c_c:Be-Ca-F-Li-O-Si,200,12,1
icsd_123554,ABC4D6_mP48_14_e_e_4e_6e:Cl-Cs-In-S,48,12,1
icsd-177015,A3BC_tI10_107_ab_a_a:Al-Ce-Cu,10,4,1
icsd-74087,ABC3_oP20_62_a_c_cd:Fe-Nd-O,20,4,1
icsd-145164,AB3C3D8_hP45_174_ace_3j_3k_5j3k:Ag-Ga-Mg-Se,45,17,1
icsd_127844,A2BC2DE26F4_mP72_13_ac_e_bf_e_13g_2g:Al-Ca-Fe-Mn-O-P,72,21,1
icsd-145534,AB6C2_mC72_15_ce_6f_2f:Mn-O-P,72,10,1
icsd_122892,AB9C2D2_mC168_15_ef_e13f_3f_3f:Mo-O-P-Rb,168,22,1
icsd-147677,A5B3C9_tI272_142_d2g_cef_e4g:B-Na-S,272,11,1
icsd-148078,AB2C2DE6_tP24_113_a_e_e_c_ef:Co-Eu-Ge-O-S,24,6,1
icsd_128436,A4B2C7DE_oP60_29_4a_2a_7a_a_a:H-N-O-S-Sr,60,15,1
icsd_61483,A2B15C44D14_hR225_148_c_d2f_c7f_c2f:H-Mn-O-Te,225,15,1
icsd_124946,AB8C2D_mP24_4_a_8a_2a_a:H-O-S-Tb,24,12,1
icsd_127393,A2BC6D_hR30_148_c_a_f_b:B-Mn-O-Sn,30,4,1
icsd_116837,A3BC2D9_oP60_62_cd_a_d_3c3d:Ba-Ca-Mo-O,60,10,1
icsd-149669,AB2C3_hP12_194_c_ad_h:C-Na-O,12,4,1
icsd-70355,AB2C6D_tP10_123_c_g_abi_d:Ba-Mn-O-Pr,10,6,1
icsd-47026,A2B12C3_mC68_15_f_6f_ef:Gd-O-W,68,9,1
icsd_127686,A7B18C28D4E4_mP122_14_a3e_9e_14e_2e_2e:Ca-H-O-Si-Zn,122,31,1
icsd-148994,A2B2C9D2_oP60_19_2a_2a_9a_2a:B-K-O-P,60,15,1
icsd-149686,AB2C3_hP12_194_c_ad_h:C-Na-O,12,4,1
icsd_64394,A2B2C7_mC22_12_i_h_aij:Ge-In-O,22,5,1
icsd-138395,AB4CD_tP28_113_e_2cd2e_e_e:Ag-O-Sm-Ti,28,8,1
icsd_63902,ABC5_cF28_216_a_b_ce:I-P-S,28,4,1
icsd-126671,AB27C9D5E2_mP176_14_e_27e_9e_5e_2e:Br-H-N-O-U,176,44,1
icsd-174951,A2B5C4_mC88_15_aef_5f_4f:I-O-Sb,88,12,1
icsd-175643,A2BC12D6_mC42_12_i_a_2i2j_ij:Cl-Co-H-O,42,8,1
icsd-49192,A2BC_tP4_123_h_a_b:Er-In-Ru,4,3,1
icsd-43065,A3B2_tP10_127_ah_g:La-Si,10,3,1
icsd_127405,A4BC6D_tI48_140_l_b_hl_a:C-Li-N-Tl,48,5,1
icsd_125438,AB2C2_tI40_141_c_h_h:Ce-O-Si,40,3,1
icsd-54173,ABC4_aP12_2_i_i_4i:Cs-Cu-S,12,6,1
icsd-176716,A2BC4_oP28_62_2c_c_4c:Bi-Pb-S,28,7,1
icsd_127055,A3B12C4D18_mP74_4_3a_12a_4a_18a:As-H-Mn-O,74,37,1
icsd-64195,AB_cF8_225_a_b:Mn-N,8,2,1
icsd_125068,A4BCD6_hP12_191_h_a_b_i:As-Br-N-O,12,4,1
icsd-148214,A4BC_oP24_55_4h_g_g:B-Cr-Y,24,6,1
icsd_124229,A3BC2_cI48_214_f_a_e:Ag-Au-Se,48,3,1
icsd-148644,A2BCD3_oC28_63_g_c_a_ce:Ca-Cl-Mn-O,28,5,1
icsd-126558,A7BC2D_oP22_31_3a2b_a_b_a:F-K-Na-Zr,22,8,1
icsd_127956,AB7CD2_oC44_63_a_cgh_b_g:Na-O-Sb-Se,44,6,1
icsd-177412,A4B_cP40_205_cd_c:I-Sn,40,3,1
icsd-138403,A2BC3_oC24_36_b_a_ab:Ag-Ge-S,24,4,1
icsd-148701,A6BC2DE6_cF64_225_e_a_c_b_e:C-Fe-K-Mn-N,64,5,1
icsd_127540,AB3C9D2E5_oP160_31_4a_4a4b_8a14b_8a_4a8b:Ba-Ce-N-O-Si,160,54,1
icsd_123850,AB6C2_mC36_12_g_2i2j_j:Fe-O-Si,36,6,1
icsd_61250,A2B10C2D_oP30_58_g_g2h_g_a:Cl-F-O-Pt,30,6,1
icsd_127110,A_mP16_13_4g:C,16,4,1
icsd-176653,A6B4C_hR66_167_f_ae_b:Cl-Cs-Pb,66,4,1
icsd_61495,A6BC_hR24_148_f_a_b:F-Ge-Mg,24,3,1
icsd_128420,A6BC2_oI36_71_lmn_ab_fg:Gd-In-Ru,36,7,1
icsd-119962,A2BC_tI16_139_ce_e_d:Bi-Eu-Zn,16,4,1
icsd-201957,AB3C3_cP7_221_a_c_d:As-I-Sr,7,3,1
icsd-147661,AB2C6D_tP20_128_a_d_eh_b:Ce-Cs-I-Na,20,5,1
icsd_86807,A7B3C12_aP176_2_28i_12i_48i:B-K-O,176,88,1
icsd-175340,A5BC3_mC72_15_5f_ce_3f:Cl-In-Rb,72,10,1
icsd-146836,ABC8D2_oP48_52_d_c_4e_e:Cs-Eu-O-S,48,7,1
icsd-201812,AB2_oC48_64_df_2g:Fe-Si,48,4,1
icsd-126667,A4B4C8D_mC68_15_2f_2f_4f_e:C-Li-N-Si,68,9,1
icsd-147374,A21B6C7D4_oP76_59_ae3f3g_2ef_beg_g:Bi-Cl-I-Rh,76,15,1
icsd_124546,A11B2_hP39_180_cg2k_j:N-Y,39,5,1
icsd-146565,A17B3C_mP84_14_17e_3e_e:O-Tc-Th,84,21,1
icsd-149690,AB2C3_hP12_194_c_ad_h:C-Na-O,12,4,1
icsd_126982,ABC_hP6_186_b_b_a:Ni-Sb-Tm,6,3,1
icsd_127690,A2B4C6D_mC52_15_f_2f_3f_e:C-H-O-Zn,52,7,1
icsd_128565,ABC2_oP16_62_c_c_2c:Fe-H-O,16,4,1
icsd_127940,AB3CD_oC24_63_c_cf_c_a:Cu-Se-Sr-Yb,24,5,1
icsd_127043,A3B20C6_cF116_225_ac_fh_e:Lu-Pd-Si,116,5,1
icsd-64183,AB_cF8_225_a_b:Mn-N,8,2,1
icsd-70590,A2B5C4_oP22_58_g_a2g_2g:Al-Co-La,22,6,1
icsd-176700,AB2_cF24_227_a_d:Hf-V,24,2,1
icsd-176350,A4B3C10_oC68_64_2f_af_e2fg:Ba-Mn-O,68,8,1
icsd_115562,AB12C3D36E10F4_hP132_159_b_12c_3b_36c_a9c_2a2b:F-Ge-Li-O-Rb-Sc,132,66,1
icsd-176645,A6B4C_hR66_167_f_ae_b:Cl-Cs-Pb,66,4,1
icsd_127106,A_mP16_14_4e:C,16,4,1
icsd-139204,AB2C6D_hR30_146_a_2a_2b_a:Fe-Mn-O-Sb,30,6,1
icsd_128359,A8B2C3_mC52_15_4f_f_ef:O-P-Zn,52,7,1
icsd-149556,AB6C2D_mP20_14_a_3e_e_d:Mg-O-Tb-Ti,20,6,1
icsd_137106,A3BC12_mP64_14_3e_e_12e:B-Ca-O,64,16,1
icsd-82346,ABCD2E_mP72_14_3e_3e_3e_6e_3e:Ag-H-N-O-P,72,18,1
icsd_137556,A5B3_tI32_140_cl_ah:Eu-Si,32,4,1
icsd-147266,ABC3_hP30_185_ab_c_ab2c:Dy-In-O,30,7,1
icsd_124454,ABC3_hR30_148_c_c_f:Ir-Mg-O,30,3,1
icsd_63806,A2B2C6D_mC44_15_f_f_3f_e:F-I-O-Zr,44,6,1
icsd-148469,A4B_tI10_139_de_a:Al-Eu,10,3,1
icsd-47821,AB2C4_cF56_227_a_d_e:Li-Mn-O,56,3,1
icsd-175317,ABC3_hP30_194_bf_af_hk:Ba-Fe-O,30,6,1
icsd_96503,ABC_hP6_194_a_c_d:Ba-Pd-Zn,6,3,1
icsd-148039,A2B4C_cF56_227_c_e_b:Fe-O-Zn,56,3,1
icsd_115759,A3BC4_tP16_114_ad_b_e:Na-P-Se,16,4,1
icsd-70601,AB3C_tP5_99_b_ac_a:Ba-O-Ti,5,4,1
icsd_128532,AB_cF8_225_a_b:Co-O,8,2,1
icsd-47067,A5BC24D6E2_mC76_12_aj_c_2i5j_ij_g:K-Na-O-S-Sm,76,13,1
icsd-176184,A3B4C15D4_oP104_33_3a_4a_15a_4a:Fe-Na-O-P,104,26,1
icsd-146498,A2B_tI6_139_d_a:H-Zr,6,2,1
icsd_124842,AB4C2D_hP216_144_9a_36a_18a_9a:C-H-N-Se,216,72,1
icsd-176887,AB7C2D2E_tP26_100_a_bcd_c_c_a:F-O-P-Rb-Sb,26,7,1
icsd-174910,ABC2_hP8_194_c_a_f:Ge-N-V,8,3,1
icsd-129195,A3BC4D3E_oP48_62_cd_c_2cd_cd_c:Cl-H-O-Pb-Se,48,9,1
icsd_127444,A5B4_cF72_227_ae_e:Fe-O,72,3,1
icsd-167516,A6BCD2E6_cF64_225_e_a_b_c_e:C-Co-Fe-K-N,64,5,1
icsd_124792,AB4C4_cF72_227_a_e_e:Ag-Mo-O,72,3,1
icsd_115866,A5B12C3_cI160_230_ad_h_c:Fe-O-Y,160,4,1
icsd_127917,AB2C9D2_oP56_62_c_ac_5c2d_2c:Ca-Fe-O-P,56,12,1
icsd-145522,AB6C_mC32_15_e_3f_e:Ca-O-S,32,5,1
icsd-139253,A12B3CD_mP68_14_12e_3e_e_e:O-Se-Zn-Zr,68,17,1
icsd-149151,AB6C6_hP13_191_a_i_cde:Ho-Mn-Sn,13,5,1
icsd-176665,A10BC2D3E18_oP136_29_10a_a_2a_3a_18a:B-Cs-H-Na-O,136,34,1
icsd-149126,ABC2_cF16_225_a_b_c:Al-Fe-V,16,3,1
icsd_127126,A_mP16_14_4e:C,16,4,1
icsd-47786,A3B2C2D5_cI48_199_b_a_a_ab:Ba-Cl-Ga-O,48,5,1
icsd-126581,ABC2_oP16_62_c_c_2c:Ga-H-O,16,4,1
icsd-147092,ABC5D2_oP36_62_c_c_c2d_2c:Ba-Cu-O-Sm,36,7,1
icsd-128989,A3BC9D_oP56_62_a2c_c_5c2d_c:Cu-Mo-O-S,56,12,1
icsd-129361,A8B3C2_hR39_166_ch_ac_c:O-Sr-V,39,5,1
icsd-138120,ABC10D_mP52_14_e_e_10e_e:Au-B-F-Sr,52,13,1
icsd-128823,AB3C_oP20_62_a_cd_c:Ce-O-Sr,20,4,1
icsd_119832,AB3C3D2_oP36_62_c_cd_cd_2c:C-La-N-O,36,7,1
icsd-176720,AB6C2D_cF40_225_a_e_c_b:Bi-Cl-Cs-Na,40,4,1
icsd-128570,A9B3C16_hR252_148_ac4f_bcf_8f:Ba-Hf-Se,252,17,1
icsd_127433,A5B4_cF72_227_ae_e:Fe-O,72,3,1
icsd-64009,ABC8D2E_mP52_14_e_e_8e_2e_e:Cu-In-O-P-Rb,52,13,1
icsd-145739,AB12C3D2_hR108_167_b_2f_e_c:Li-O-P-Ti,108,5,1
icsd-129418,A6BCD3E13_oP96_33_6a_a_a_3a_13a:B-Cd-Dy-H-O,96,24,1
icsd-145369,AB2C2_tI10_139_a_d_e:Er-Pd-Si,10,3,1
icsd-137955,AB6C3_oP80_61_c_6c_3c:Er-N-Na,80,10,1
icsd-70363,AB2C6D_tP10_123_c_g_abi_d:Ba-Mn-O-Pr,10,6,1
icsd-137810,AB4C2D_tP32_90_ac_2g_g_bc:Cl-O-Sb-Tm,32,7,1
icsd-175730,AB6C3D18_aP112_1_4a_24a_12a_72a:Bi-I-Na-O,112,112,1
icsd_129211,A2B4C_oP28_62_ac_2cd_c:Fe-O-Si,28,6,1
icsd-47856,A12BC6D2E36F6_cP252_198_4b_a_2b_2a_12b_2b:H-K-Mo-Ni-O-Sb,252,23,1
icsd_124423,A3B11CD_hR96_167_e_cef_a_b:N-O-Pu-Rb,96,6,1
icsd_57303,AB2C3_hP18_191_ad_2l_2f2k:Ca-Pd-Zn,18,8,1
icsd-145502,AB6C_mC32_15_e_3f_e:Ca-O-S,32,5,1
icsd_123132,A5B3_mC32_12_5i_3i:O-Ti,32,8,1
icsd_85026,A2B12C4D_aP38_2_abi_12i_4i_i:Fe-O-Se-Sr,38,20,1
icsd-147495,A3B8C2_oC52_64_ae_2fg_f:Mg-O-V,52,6,1
icsd-138198,A2BC6D_tP40_86_abc_e_3g_d:Mn-Nd-O-Ta,40,8,1
icsd-46969,ABC3_oP20_62_a_c_cd:Fe-Ho-O,20,4,1
